# Log Gross Income (lower edge), Log Gross Income (upper edge), Log Net Wealth (lower edge), Log Net Wealth (upper edge), Probability
10.0, 10.2, 10.5, 11.0, 0.09142304774860832
10.0, 10.2, 11.0, 11.5, 0.07975098884151367
10.0, 10.2, 11.5, 12.0, 0.04652365220587695
10.0, 10.2, 12.0, 12.5, 0.012204871728589986
10.0, 10.2, 12.5, 13.0, 0.008239377675259632
10.0, 10.2, 13.0, 13.5, 0.0002115385202149119
10.0, 10.2, 13.5, 14.0, 0.0030615122678428882
10.0, 10.2, 14.0, 14.5, 0.0011400998571089577
10.0, 10.2, 14.5, 15.0, 4.577571921321707e-05
10.0, 10.2, 15.0, 15.5, 0.0
10.0, 10.2, 15.5, 16.0, 3.6054117746485786e-06
10.0, 10.2, 16.0, 16.5, 0.0
10.0, 10.2, 16.5, 17.0, 0.0
10.0, 10.2, 17.0, 17.5, 0.0
10.2, 10.4, 0.0, 0.5, 0.00027544342289119277
10.2, 10.4, 0.5, 1.0, 0.0
10.2, 10.4, 1.0, 1.5, 0.0
10.2, 10.4, 1.5, 2.0, 0.001114898229412607
10.2, 10.4, 2.0, 2.5, 0.0005164718433214233
10.2, 10.4, 2.5, 3.0, 0.0
10.2, 10.4, 3.0, 3.5, 0.00252471629848069
10.2, 10.4, 3.5, 4.0, 0.00963667691749605
10.2, 10.4, 4.0, 4.5, 0.005049735331796696
10.2, 10.4, 4.5, 5.0, 0.00462177988372206
10.2, 10.4, 5.0, 5.5, 0.003977938992400872
10.2, 10.4, 5.5, 6.0, 0.0036426907795660225
10.2, 10.4, 6.0, 6.5, 0.023325158453638816
10.2, 10.4, 6.5, 7.0, 0.06964012921819498
10.2, 10.4, 7.0, 7.5, 0.045122923831016924
10.2, 10.4, 7.5, 8.0, 0.07445842605742227
10.2, 10.4, 8.0, 8.5, 0.06156611775210762
10.2, 10.4, 8.5, 9.0, 0.0934617681151052
10.2, 10.4, 9.0, 9.5, 0.08198669638555446
10.2, 10.4, 9.5, 10.0, 0.0980593853474861
10.2, 10.4, 10.0, 10.5, 0.14187393060600054
10.2, 10.4, 10.5, 11.0, 0.07485064511185975
10.2, 10.4, 11.0, 11.5, 0.07174975070937285
10.2, 10.4, 11.5, 12.0, 0.0673356135109239
10.2, 10.4, 12.0, 12.5, 0.032590808893457744
10.2, 10.4, 12.5, 13.0, 0.020447742070964982
10.2, 10.4, 13.0, 13.5, 0.0069170498708886466
10.2, 10.4, 13.5, 14.0, 0.004023569220882978
10.2, 10.4, 14.0, 14.5, 0.0011515950627098458
10.2, 10.4, 14.5, 15.0, 3.707982536234099e-06
10.2, 10.4, 15.0, 15.5, 3.707982536234099e-06
10.2, 10.4, 15.5, 16.0, 4.342771715657042e-05
10.2, 10.4, 16.0, 16.5, 0.0
10.2, 10.4, 16.5, 17.0, 2.7494401095695043e-05
10.2, 10.4, 17.0, 17.5, 0.0
10.4, 10.6, 0.0, 0.5, 0.0005792535390401318
10.4, 10.6, 0.5, 1.0, 0.0
10.4, 10.6, 1.0, 1.5, 0.0
10.4, 10.6, 1.5, 2.0, 0.0
10.4, 10.6, 2.0, 2.5, 0.0005430664125472583
10.4, 10.6, 2.5, 3.0, 0.0
10.4, 10.6, 3.0, 3.5, 0.000499993724508531
10.4, 10.6, 3.5, 4.0, 0.004114427750013896
10.4, 10.6, 4.0, 4.5, 0.0
10.4, 10.6, 4.5, 5.0, 0.0028583309012778415
10.4, 10.6, 5.0, 5.5, 0.005305919246475965
10.4, 10.6, 5.5, 6.0, 0.005965301547472245
10.4, 10.6, 6.0, 6.5, 0.011736722493549795
10.4, 10.6, 6.5, 7.0, 0.023033843326860544
10.4, 10.6, 7.0, 7.5, 0.04375266788726343
10.4, 10.6, 7.5, 8.0, 0.06203730313902331
10.4, 10.6, 8.0, 8.5, 0.06873058614211926
10.4, 10.6, 8.5, 9.0, 0.10984193913730966
10.4, 10.6, 9.0, 9.5, 0.09965473307162867
10.4, 10.6, 9.5, 10.0, 0.09468393934888955
10.4, 10.6, 10.0, 10.5, 0.14276907519981066
10.4, 10.6, 10.5, 11.0, 0.08420807359328196
10.4, 10.6, 11.0, 11.5, 0.06927859523440272
10.4, 10.6, 11.5, 12.0, 0.0729067342125014
10.4, 10.6, 12.0, 12.5, 0.057990693184895976
10.4, 10.6, 12.5, 13.0, 0.024965085150543895
10.4, 10.6, 13.0, 13.5, 0.01068229771426197
10.4, 10.6, 13.5, 14.0, 0.002422752112254398
10.4, 10.6, 14.0, 14.5, 0.0007368205616908801
10.4, 10.6, 14.5, 15.0, 0.0005249376220011663
10.4, 10.6, 15.0, 15.5, 7.739547043254868e-05
10.4, 10.6, 15.5, 16.0, 6.304439003882784e-05
10.4, 10.6, 16.0, 16.5, 3.159607096535146e-05
10.4, 10.6, 16.5, 17.0, 4.871814938145075e-06
10.4, 10.6, 17.0, 17.5, 0.0
10.6, 10.8, 0.0, 0.5, 0.0
10.6, 10.8, 0.5, 1.0, 0.0
10.6, 10.8, 1.0, 1.5, 0.00013165397377882742
